Symbol,Name,Index Value,Change Net / %,High,Low
XAX,Amex Composite,"2,548.47",11.67 ▲ 0.46%,"2,551.84","2,526.82"
VOLNDX,DWS NASDAQ-100 Volatility Target Index,"1,689.47",unch,"1,689.47","1,689.47"
FTSEQ500,FTSE NASDAQ 500 Index,"5,914.69",unch,"5,946.98","5,899.54"
RCMP,NASDAQ Capital Market Composite Index,171.72,1.79 ▲ 1.05%,172.06,170.38
IXIC,NASDAQ Composite,"7,140.25",71.22 ▲ 1.01%,"7,166","7,105.09"
NQGM,NASDAQ Global Market Composite,"2,157.92",27.66 ▲ 1.30%,"2,163.18","2,142.02"
NQGS,NASDAQ Global Select Market Composite,"3,356.49",33.31 ▲ 1.00%,"3,368.75","3,340.15"
QOMX,NASDAQ OMX 100 Index,"1,945.96",unch,"1,945.96","1,945.96"
ILTI,NASDAQ OMX AeA Illinois Tech Index,"1,054.38",unch,"1,054.38","1,054.38"
QMEA,NASDAQ OMX Middle East North Africa Index,128.54,unch,128.54,128.54
IXNDX,NASDAQ-100,"6,656.26",72.82 ▲ 1.11%,"6,682.69","6,618.81"
NYA,NYSE Composite,"12,613.62",99.03 ▲ 0.79%,"12,623.71","12,514.59"
OMXB10,OMX Baltic 10,235.1,2.13 ▲ 0.91%,235.42,232.97
OMXC20,OMX Copenhagen 20,735.86,2.85 ▼ 0.39%,735.86,735.86
OMXH25,OMX Helsinki 25,"4,002.59",40.82 ▲ 1.03%,"4,005.04","3,965.12"
OMXN40,OMX Nordic 40,"1,488.86",5.13 ▲ 0.35%,"1,492.6","1,480.03"
OMXS30,OMX Stockholm 30 Index,"1,518.88",14.17 ▲ 0.94%,"1,520.85","1,503.86"
RUI,Russell 1000,"1,476.96",11.51 ▲ 0.79%,"1,482.68","1,465.45"
RUT,Russell 2000,"1,558.51",11.70 ▲ 0.76%,"1,562.46","1,546.8"
RUA,Russell 3000,"1,580.96",13.47 ▲ 0.86%,"1,585.73","1,567.5"
OEX,S&P 100,"1,170.79",10.21 ▲ 0.88%,"1,175.92","1,160.58"
SPX,S&P 500,"2,663.99",21.80 ▲ 0.83%,"2,674.72","2,642.19"
MID,S&P MidCap,"1,891.22",9.13 ▲ 0.49%,"1,896.48","1,882.09"
NDXE,The NASDAQ-100 Equal Weighted Index,"3,585.84",38.50 ▲ 1.09%,"3,598.07","3,564.92"
VINX30,VINX 30,"1,027.87",unch,"1,030.38","1,018.95"
WLX,Wilshire 5000,"27,685.63",217.95 ▲ 0.79%,"27,763.68","27,467.68"
